UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100130,1,1,1192.0,PR100102,Windows,PR100102,1,0
U100131,1,1,1241.0,PR100073,Andriod,PR100166,1,0
U100132,6,3,1209.0,PR100102,Windows,PR100636,0,2
U100134,4,13,1617.0,PR101934,Windows,PR100017,3,0
U100136,79,20,1287.0,PR100022,Windows,,16,46
U100137,0,2,1181.0,PR100469,Windows,PR101355,0,0
U100138,15,8,1274.0,PR100017,Windows,PR100047,6,6
U100139,8,9,1453.0,,Windows,PR100051,6,1
U100141,13,9,1189.0,PR100316,Windows,PR100076,4,8
U100142,8,5,1587.0,PR100162,Windows,PR100481,4,4
U100144,0,4,1198.0,PR100735,Windows,PR100054,0,0
U100145,45,12,1244.0,PR100390,Mac OS X,PR100123,12,29
U100146,0,2,1249.0,PR100095,Andriod,PR100102,0,0
U100149,1,1,1429.0,PR100500,Andriod,,1,0
U100150,2,1,1361.0,PR101312,Andriod,PR102189,1,0
U100151,13,10,1451.0,PR100859,Windows,PR100086,2,6
U100152,16,5,1883.0,PR100758,Windows,PR100758,4,11
U100156,2,2,1281.0,PR100859,Andriod,PR100812,0,0
U100157,2,1,1289.0,PR100355,Windows,PR100070,1,1
U100158,14,18,2322.0,PR100051,Windows,PR102072,9,5
U100159,1,3,1418.0,PR100318,Andriod,PR100014,0,0
U100161,1,3,1557.0,PR100279,Windows,,0,0
U100162,18,7,2077.0,PR101003,Mac OS X,PR101003,10,7
U100163,21,17,2678.0,PR100390,Mac OS X,PR100166,9,9
U100164,134,18,1314.0,PR100166,Windows,PR100072,50,63
U100165,0,0,2095.0,PR100028,Andriod,PR100664,0,0
U100166,1,2,1184.0,PR100130,Andriod,PR100130,1,0
U100167,42,35,1379.0,PR100044,Windows,PR100739,20,17
U100168,7,7,2125.0,PR100017,Andriod,PR101643,3,2
U100169,6,6,1367.0,PR100044,Windows,,2,4
U100170,0,0,1195.0,PR100036,Windows,PR100633,0,0
U100171,6,2,1243.0,PR100470,Andriod,PR100133,3,2
U100173,4,8,1175.0,,Windows,,2,2
U100174,13,6,1261.0,PR100051,Windows,PR101975,8,3
U100175,9,4,3052.0,PR102474,Windows,PR103867,0,7
U100176,44,16,1243.0,PR100102,Andriod,PR101440,5,34
U100177,14,9,1317.0,PR100475,Windows,,9,4
U100178,3,2,3273.0,PR100083,Andriod,PR100051,0,1
U100179,21,7,1292.0,PR100120,Windows,PR100225,10,6
U100180,18,14,1216.0,,Windows,,8,8
U100181,19,29,1398.0,,Mac OS X,PR101934,15,0
U100182,0,0,1180.0,PR101543,Andriod,PR100413,0,0
U100183,1,1,1238.0,PR100739,Windows,PR100823,0,1
U100184,0,3,1256.0,PR100513,Windows,,0,0
U100185,0,0,1206.0,PR100524,Windows,PR100113,0,0
U100186,0,4,1189.0,PR100147,Andriod,PR100519,0,0
U100187,25,4,1466.0,PR100767,Andriod,PR100767,3,22
U100188,23,14,1335.0,PR100852,Windows,PR100151,12,8
U100190,1,1,1829.0,PR100279,Windows,PR100200,1,0
U100191,9,9,1218.0,PR100676,Andriod,PR100010,8,1
U100192,0,0,1253.0,PR100363,Windows,PR100061,0,0
U100193,29,8,1503.0,PR100470,Windows,PR100470,4,20
U100194,0,1,1184.0,PR100258,Andriod,PR100732,0,0
U100197,0,1,1992.0,PR100459,Mac OS X,PR101202,0,0
U100198,7,7,1612.0,PR100870,Windows,PR100057,2,5
U100200,0,2,1526.0,PR100298,Windows,PR100301,0,0
U100203,4,2,1413.0,,Mac OS X,PR100102,2,2
U100204,6,2,1455.0,,Windows,PR105130,2,4
U100205,9,2,1175.0,PR100023,Windows,PR100023,4,5
U100207,3,6,1273.0,PR100135,Windows,PR100307,1,1
U100208,6,11,1175.0,PR100152,Mac OS X,PR101706,1,3
U100209,7,5,1315.0,PR100070,Windows,PR100157,6,1
U100210,9,18,1502.0,PR100085,Windows,PR111749,3,3
U100211,2,3,1184.0,PR100945,Andriod,PR102009,2,0
U100213,1,1,1309.0,PR100054,Windows,PR100059,1,0
U100214,2,1,1287.0,PR100116,Windows,PR100350,1,1
U100215,0,0,1295.0,PR100017,Linux,PR100037,0,0
U100216,0,1,1995.0,PR101487,Mac OS X,PR101594,0,0
U100217,6,5,1401.0,PR100086,Mac OS X,PR100086,1,5
U100218,0,0,1204.0,PR100102,Windows,PR100166,0,0
U100219,3,2,1567.0,,Windows,PR100618,2,1
U100220,151,16,1629.0,PR100446,Windows,,13,122
U100221,5,4,1338.0,PR100182,Andriod,PR100166,5,0
U100223,82,5,1487.0,PR100745,Windows,PR100321,0,77
U100224,0,0,1763.0,PR100321,Windows,PR100162,0,0
U100225,0,1,2320.0,PR100432,Mac OS X,PR100593,0,0
U100226,5,3,1292.0,PR100591,Windows,PR100073,1,3
U100228,1,3,1301.0,PR100352,Andriod,PR100039,1,0
U100229,1,1,1196.0,PR101273,Andriod,PR100771,1,0
U100231,46,17,1255.0,,Windows,PR101111,6,34
U100232,5,3,2111.0,PR100182,Windows,PR100102,2,3
U100233,2,5,1370.0,PR100152,Windows,PR100225,2,0
U100234,5,2,1495.0,PR100113,Windows,PR100119,4,1
U100235,3,1,2210.0,PR100438,Windows,PR100017,1,1
U100236,0,0,1211.0,PR100850,Andriod,PR100121,0,0
U100238,0,2,1409.0,PR100041,Windows,PR100043,0,0
U100239,3,4,3179.0,PR100037,Linux,PR100086,1,0
U100241,0,2,1206.0,PR100166,Andriod,PR100166,0,0
U100242,21,6,1187.0,PR100593,Andriod,PR101163,4,11
U100243,48,36,1455.0,PR100123,Andriod,PR100673,26,15
U100245,43,17,2998.0,PR100593,Andriod,PR100312,23,18
U100246,3,2,1439.0,PR100975,Andriod,PR100885,3,0
U100248,3,3,2209.0,PR100316,Andriod,PR101462,3,0
U100249,1,1,1557.0,,Andriod,PR100017,0,1
U100250,2,9,1179.0,PR100534,Windows,PR101041,0,2
U100251,3,2,2585.0,PR100118,Windows,PR100047,3,0
U100255,20,6,1205.0,PR100051,Mac OS X,PR100051,12,5
U100256,0,0,3098.0,PR100060,Andriod,PR100152,0,0
U100257,2,1,1233.0,,Windows,PR100179,0,2
U100258,6,5,1342.0,PR100044,Windows,PR100515,2,3
U100259,14,17,3107.0,PR101701,Andriod,,13,1
U100260,2,1,1218.0,,Andriod,,2,0
U100261,0,5,1788.0,PR100017,Windows,PR100901,0,0
U100262,1,0,1181.0,,Windows,PR103498,1,0
U100263,2,2,1258.0,PR100017,Andriod,PR100697,0,1
U100264,5,3,1440.0,PR100143,Andriod,PR100017,5,0
U100265,1,4,1679.0,PR100010,Andriod,PR100102,1,0
U100266,5,8,1235.0,PR100153,Windows,PR102679,2,1
U100267,1056,34,1317.0,PR101042,Windows,PR101042,62,844
U100268,26,12,2066.0,PR100960,Windows,PR101295,14,9
U100269,2,2,3250.0,PR100997,Linux,,2,0
U100270,0,1,1583.0,PR100279,Windows,PR100375,0,0
U100271,0,0,1371.0,PR100209,Andriod,PR100807,0,0
U100272,5,3,1202.0,PR100166,Andriod,PR100166,2,3
U100273,10,19,1260.0,PR100294,Windows,PR100294,3,5
U100274,26,14,1318.0,PR100047,Windows,PR100166,18,6
U100275,1,2,1899.0,PR101680,Andriod,,1,0
U100276,0,30,1688.0,PR100246,Windows,PR100876,0,0
U100277,0,0,1342.0,PR105459,Windows,PR100000,0,0
U100278,4,3,1796.0,PR100945,Andriod,PR101287,4,0
U100279,58,8,1324.0,PR100702,Windows,,8,44
U100280,0,0,1249.0,PR101312,Windows,PR100978,0,0
U100281,0,1,1969.0,PR100720,Andriod,PR100298,0,0
U100282,0,4,1190.0,PR100126,Windows,PR100269,0,0
U100283,0,0,1245.0,PR100234,Andriod,PR100792,0,0
U100284,1,2,1185.0,PR100039,Andriod,PR101029,1,0
U100286,0,0,1188.0,PR100017,Windows,PR100348,0,0
U100288,2,3,1203.0,PR100039,Andriod,PR100633,2,0
U100290,11,4,1280.0,PR100137,Mac OS X,PR101257,0,10
U100291,3,5,1179.0,PR100054,Windows,PR100017,2,0
U100292,5,4,1237.0,PR100301,Windows,PR101521,2,2
U100293,3,9,1501.0,PR100431,Windows,PR100545,0,1
U100294,0,5,1451.0,PR100416,Windows,PR100416,0,0
U100295,2,4,1859.0,PR100166,Windows,PR100166,1,1
U100297,10,13,2060.0,PR100206,Windows,PR100301,9,0
U100298,19,2,1184.0,,Windows,PR100350,1,17
U100300,0,1,1548.0,PR100102,Andriod,PR100244,0,0
U100301,22,12,1991.0,PR101164,Windows,PR102039,9,9
U100302,68,50,2159.0,PR100655,Mac OS X,PR101312,32,28
U100303,1,0,1254.0,,Windows,PR100166,1,0
U100304,42,8,1225.0,PR100064,Mac OS X,PR100152,6,30
U100305,4,2,1770.0,PR100308,Windows,PR100024,2,1
U100306,1,1,1346.0,PR101566,Mac OS X,PR100181,0,0
U100308,0,0,1221.0,PR100102,Andriod,PR100023,0,0
U100309,28,6,1176.0,PR100102,Andriod,PR100166,2,17
U100310,153,7,1866.0,PR100590,Windows,PR100030,6,125
U100311,0,2,1418.0,PR100340,Mac OS X,PR100047,0,0
U100313,0,3,2169.0,PR101293,Windows,PR100017,0,0
U100315,8,10,1703.0,PR101477,Windows,PR100001,4,4
U100316,25,13,1203.0,PR100187,Windows,PR100187,9,14
U100317,0,0,1180.0,PR100166,Mac OS X,PR100483,0,0
U100318,4,4,1866.0,PR101273,Windows,PR102518,3,0
U100319,3,6,3161.0,PR100023,Andriod,PR100023,3,0
U100321,3,7,1180.0,,Windows,PR100102,2,1
U100323,6,3,1505.0,PR101483,Windows,PR100758,3,3
U100324,1,1,1193.0,PR100401,Andriod,PR100044,1,0
U100328,2,2,1210.0,PR100430,Andriod,PR100363,2,0
U100329,13,7,1422.0,PR100390,Mac OS X,,3,9
U100330,0,1,1344.0,PR100020,Windows,PR100546,0,0
U100331,1,1,1218.0,PR100746,Andriod,PR101686,0,1
U100333,2,3,1522.0,PR100041,Windows,PR100069,1,0
U100334,3,2,3363.0,PR102194,Windows,,1,2
U100336,0,4,1208.0,PR100017,Windows,PR100446,0,0
U100337,2,13,1306.0,PR100166,Windows,PR100166,1,1
U100338,1,1,1792.0,PR100498,Andriod,PR100633,1,0
U100340,0,0,1249.0,PR100060,Windows,PR100338,0,0
U100341,1,5,3389.0,PR100035,Windows,,1,0
U100342,0,7,1804.0,PR100017,Windows,PR100166,0,0
U100343,1,3,1264.0,PR100246,Windows,PR101008,0,1
U100344,0,1,1227.0,PR100017,Windows,PR100739,0,0
U100345,0,0,1243.0,PR100446,Windows,PR100055,0,0
U100346,4,5,2899.0,PR101761,Windows,,4,0
U100347,7612,108,1472.0,PR101042,Mac OS X,PR101042,333,6253
U100349,3,3,1950.0,PR100102,Windows,PR100761,0,1
U100351,198,27,1501.0,PR100578,Windows,PR100152,19,154
U100352,0,0,1261.0,,Mac OS X,PR100719,0,0
U100353,9,13,1285.0,PR100909,Windows,PR100561,3,6
U100354,121,25,1935.0,PR100390,Windows,PR100390,39,69
U100355,2,1,1567.0,PR100676,Andriod,PR100470,2,0
U100356,0,0,1195.0,PR100145,Windows,,0,0
U100358,3,2,1331.0,PR100102,Andriod,PR100269,3,0
U100359,1,1,1491.0,PR101422,Windows,PR100561,1,0
U100360,1,2,1652.0,PR100938,Andriod,PR100224,1,0
U100362,0,1,2241.0,PR100753,Windows,PR100166,0,0
U100363,1,1,1215.0,PR100073,Andriod,PR100017,1,0
U100364,0,1,1441.0,PR100250,Windows,PR100250,0,0
U100365,12,7,1666.0,PR100044,Windows,PR100312,6,5
U100366,2,2,2714.0,,Windows,PR100954,2,0
U100367,4,8,2088.0,PR100868,Windows,PR100017,3,0
U100368,0,0,1189.0,PR100200,Andriod,PR100172,0,0
U100369,0,6,1482.0,PR100064,Windows,PR100064,0,0
U100370,5,3,1240.0,PR100312,Windows,PR100312,5,0
U100371,0,0,2135.0,PR100020,Mac OS X,PR100193,0,0
U100372,0,0,1953.0,PR100036,Andriod,PR100036,0,0
U100374,39,2,1227.0,PR100166,Windows,PR100166,35,0
U100375,1,1,1180.0,PR100102,Andriod,PR100017,0,0
U100376,0,0,2306.0,PR101225,Windows,PR100102,0,0
U100377,33,28,1809.0,PR100308,Windows,PR100306,3,24
U100378,0,0,1201.0,PR100017,Andriod,PR100732,0,0
U100379,2,4,2253.0,PR100144,Andriod,PR100102,0,2
U100380,6,2,1849.0,PR100036,Andriod,PR100036,4,1
U100381,162,8,1181.0,PR101042,Windows,PR101042,12,123
U100382,77,37,1249.0,PR100348,Windows,,10,50
U100383,12,13,1309.0,PR100098,Andriod,PR100281,8,1
U100384,0,6,1188.0,PR100020,Windows,PR100020,0,0
U100386,2,2,1451.0,PR100771,Windows,PR100686,2,0
U100387,14,9,1235.0,PR101590,Mac OS X,PR101590,6,7
U100388,5,5,1187.0,PR100986,Andriod,PR100102,4,0
U100389,0,1,1209.0,PR100199,Linux,PR100017,0,0
U100390,48,26,1210.0,PR100287,Windows,PR100912,22,24
U100391,12,6,1199.0,PR100166,Windows,PR100102,4,5
U100394,9,9,1345.0,PR100166,Ubuntu,PR100390,2,4
U100396,4,6,1539.0,PR100692,Windows,PR100340,3,0
U100397,0,0,1247.0,PR100182,Windows,PR100960,0,0
U100398,53,39,1798.0,PR101746,Windows,PR100723,19,29
U100399,2,1,1725.0,PR100159,Andriod,PR100017,1,1
U100400,1,1,1223.0,PR100430,Windows,PR100113,0,0
U100401,0,2,2280.0,PR100822,Windows,PR100166,0,0
U100402,0,0,1263.0,PR100496,Andriod,PR100739,0,0
U100403,0,1,1190.0,PR100141,Andriod,PR100152,0,0
U100405,19,17,1310.0,PR100136,Windows,PR101154,14,3
U100406,4,3,1184.0,PR100025,Andriod,,2,1
U100407,6,11,1773.0,PR100390,Windows,PR101575,3,3
U100408,0,0,1535.0,PR100200,Windows,PR100236,0,0
U100409,0,2,1237.0,PR100102,Windows,PR100102,0,0
U100410,260,29,2004.0,PR101042,Windows,PR101042,31,197
U100411,16,10,3389.0,PR100200,Windows,PR100359,2,12
U100412,0,0,1438.0,PR102519,Windows,PR100885,0,0
U100413,18,10,1514.0,PR101760,Andriod,PR100263,9,7
U100414,3,3,1222.0,PR100352,Andriod,PR101732,2,1
U100415,14,4,1192.0,PR100551,Windows,PR100515,1,12
U100416,1,1,1519.0,PR100039,Andriod,PR101320,1,0
U100417,3,3,1324.0,PR100350,Windows,PR101702,3,0
U100418,6,3,2886.0,PR100390,Windows,PR100390,5,0
U100420,8,8,1205.0,PR100792,Windows,PR100166,8,0
U100421,1,2,1185.0,PR100258,Andriod,PR100633,0,0
U100422,1,1,1423.0,PR100560,Windows,PR100872,1,0
U100423,36,12,1442.0,PR100390,Windows,PR100123,18,15
U100425,16,13,1213.0,PR100390,Windows,PR100166,7,8
U100427,2,3,1180.0,PR100070,Mac OS X,PR100870,1,1
U100428,4,2,2240.0,PR100200,Andriod,PR100145,1,3
U100429,0,2,1755.0,PR100010,Windows,PR100119,0,0
U100430,3,0,1211.0,,Windows,PR100166,2,1
U100431,0,0,1184.0,PR100015,Windows,PR100578,0,0
U100433,2,3,1185.0,PR100182,Andriod,PR100025,1,0
U100434,39,8,1709.0,,Windows,PR101166,5,27
U100435,0,0,1514.0,PR100060,Andriod,PR100312,0,0
U100436,5,3,2650.0,PR100102,Andriod,PR101135,5,0
U100439,7,2,1300.0,PR100515,Ubuntu,PR100515,7,0
U100440,1,1,1253.0,PR101211,Ubuntu,PR100145,1,0
U100441,0,3,2672.0,PR100130,Windows,PR100130,0,0
U100443,31,5,1459.0,PR100390,Windows,PR100166,17,13
U100445,0,1,1192.0,,Andriod,,0,0
U100446,1,2,1355.0,PR102519,Andriod,PR100010,1,0
U100447,6,4,1581.0,,Windows,PR100115,6,0
U100449,19,7,1549.0,PR100166,Windows,PR100051,6,12
U100450,14,4,1376.0,PR100712,Windows,PR100712,8,5
U100451,0,0,1197.0,PR100859,Andriod,PR101463,0,0
U100452,1,1,1341.0,PR101267,Andriod,,1,0
U100453,5,5,1445.0,PR100166,Linux,PR100166,2,3
U100454,35,126,1371.0,,Windows,PR101677,15,17
U100455,3,4,1361.0,PR100743,Andriod,PR100102,2,1
U100457,45,6,1321.0,PR100194,Windows,PR100194,0,41
U100458,0,0,1893.0,PR101559,Andriod,,0,0
U100459,3,5,1198.0,PR100182,Andriod,PR101884,2,1
U100460,37,12,1260.0,PR101042,Windows,PR101592,13,19
U100461,10,2,1183.0,PR100060,Windows,,8,2
U100462,0,0,2327.0,PR101188,Andriod,PR100459,0,0
U100463,10,4,1210.0,PR100190,Windows,PR100190,2,8
U100464,0,39,1400.0,,Windows,PR100166,0,0
U100465,19,9,1613.0,PR100166,Windows,PR100166,11,5
U100466,1,2,1944.0,PR101609,Andriod,PR101041,0,0
U100467,6,5,1227.0,,Windows,,1,4
U100469,0,0,1220.0,PR100268,Windows,PR101292,0,0
U100470,0,0,1179.0,PR100676,Windows,PR100504,0,0
U100471,11,16,1274.0,PR100028,Windows,PR101032,6,1
U100472,1,1,1218.0,PR100054,Mac OS X,PR100947,1,0
U100473,11,6,1426.0,PR100430,Windows,PR100319,2,8
U100474,7,12,1221.0,PR100483,Windows,PR100056,3,4
U100475,8,3,1877.0,PR101679,Andriod,PR101679,7,0
U100476,1,4,1521.0,PR100039,Andriod,PR100017,1,0
U100477,2,5,2155.0,PR100654,Windows,PR100301,1,1
U100478,3,2,2021.0,PR100994,Windows,PR100390,2,0
U100480,16,9,2557.0,PR101257,Windows,PR100095,10,4
U100482,0,0,1502.0,PR100276,Windows,PR100102,0,0
U100483,0,6,2572.0,PR100166,Windows,PR101814,0,0
U100485,0,5,1436.0,PR100166,Windows,PR100166,0,0
U100486,0,1,1274.0,PR100166,Windows,PR100128,0,0
U100487,10,5,1288.0,PR100232,Windows,PR100144,2,6
U100489,0,4,1403.0,PR100231,Windows,PR100258,0,0
U100490,1,1,1187.0,PR100054,Linux,PR100340,1,0
U100492,75,40,1277.0,,Windows,PR107653,15,49
U100493,0,0,1194.0,PR100872,Windows,PR100954,0,0
U100494,18,5,1447.0,PR100436,Mac OS X,PR100020,1,15
U100495,0,2,1237.0,PR103508,Andriod,PR100306,0,0
U100496,24,4,2760.0,PR100217,Windows,PR100294,3,17
U100497,0,0,1451.0,PR100102,Windows,PR100017,0,0
U100498,0,0,1277.0,,Windows,PR105723,0,0
U100499,2783,75,1606.0,PR101042,Windows,PR101042,122,2247
U100500,30,12,3314.0,PR100123,Andriod,PR100390,8,17
U100501,9,10,1189.0,PR100330,Windows,,3,5
U100502,1,3,1206.0,PR101104,Windows,PR100102,1,0
U100503,1149,27,1300.0,PR101367,Windows,PR101042,72,939
U100504,14,9,1940.0,PR100515,Windows,PR100051,7,5
U100506,3,1,1246.0,PR100340,Andriod,PR100340,3,0
U100507,9,4,1428.0,PR100642,Windows,PR100642,1,4
U100508,1,1,1432.0,PR100017,Andriod,PR100012,0,1
U100509,29,6,3389.0,PR100322,Windows,PR102018,6,22
U100510,0,2,1512.0,PR101261,Andriod,PR101530,0,0
U100511,0,0,2367.0,PR100807,Andriod,PR100027,0,0
U100512,0,0,1342.0,PR100069,Windows,PR100321,0,0
U100513,0,1,1326.0,PR100348,Windows,PR100051,0,0
U100514,0,0,1382.0,PR100145,Windows,PR100469,0,0
U100515,0,2,1568.0,,Andriod,PR100867,0,0
U100516,11,8,3389.0,,Windows,PR101298,6,3
U100517,4,10,2303.0,PR100595,Windows,PR101501,4,0
U100518,0,0,1194.0,PR100626,Windows,,0,0
U100519,5,3,1312.0,PR100417,Windows,PR101287,2,3
U100523,2,2,1214.0,,Windows,PR100119,0,2
U100524,0,0,1231.0,PR100342,Andriod,PR100872,0,0
U100525,0,0,2575.0,,Windows,PR100481,0,0
U100526,2,2,1359.0,PR100263,Mac OS X,PR100169,2,0
U100527,7,9,1846.0,PR100390,Windows,PR100390,1,3
U100528,1,2,1222.0,PR100430,Andriod,PR100688,1,0
U100529,0,1,1182.0,PR100051,Andriod,PR100022,0,0
U100530,10,4,1244.0,PR100352,Andriod,PR100073,2,4
U100531,1,2,1459.0,PR100108,Windows,PR100321,1,0
U100533,6,5,1763.0,PR100467,Linux,PR100499,5,0
U100535,0,2,1203.0,PR100113,Mac OS X,PR101221,0,0
U100536,1,1,1654.0,PR100102,Andriod,PR100102,1,0
U100537,0,0,1531.0,PR100166,Windows,,0,0
U100539,0,0,1226.0,PR100208,Windows,PR100432,0,0
U100541,2,2,1232.0,PR100102,Windows,PR100486,1,1
U100542,21,6,3072.0,PR101611,Andriod,PR101611,14,5
U100543,3,5,2226.0,PR100054,Windows,PR100054,0,3
U100544,2,1,1317.0,PR100613,Windows,PR100141,1,1
U100545,2,2,1195.0,PR100986,Andriod,PR100413,2,0
